r_1,q_1,x_1,r_2,q_2,x_2,T,gamma_1,gamma_2
0.92,1.4,0.0,2.5755,2.588,1.0,305,2.69012,1.0
0.92,1.4,0.2,2.5755,2.588,0.8,305,1.98665,1.03042
0.92,1.4,0.4,2.5755,2.588,0.6,305,1.64071,1.11962
0.92,1.4,0.6,2.5755,2.588,0.4,305,1.35956,1.35896
0.92,1.4,0.8,2.5755,2.588,0.2,305,1.12435,2.16471
0.92,1.4,1.0,2.5755,2.588,0.0,305,1.0,7.52547
0.92,1.4,0.0,2.5755,2.588,1.0,310,2.7079,1.0
0.92,1.4,0.2,2.5755,2.588,0.8,310,1.99412,1.0309
0.92,1.4,0.4,2.5755,2.588,0.6,310,1.64105,1.1218
0.92,1.4,0.6,2.5755,2.588,0.4,310,1.35799,1.36333
0.92,1.4,0.8,2.5755,2.588,0.2,310,1.12336,2.16966
0.92,1.4,1.0,2.5755,2.588,0.0,310,1.0,7.45659
0.92,1.4,0.0,2.5755,2.588,1.0,315,2.72398,1.0
0.92,1.4,0.2,2.5755,2.588,0.8,315,2.00102,1.03133
0.92,1.4,0.4,2.5755,2.588,0.6,315,1.64129,1.12382
0.92,1.4,0.6,2.5755,2.588,0.4,315,1.35645,1.36742
0.92,1.4,0.8,2.5755,2.588,0.2,315,1.1224,2.17414
0.92,1.4,1.0,2.5755,2.588,0.0,315,1.0,7.39004
2.5755,2.588,0.0,0.92,1.4,1.0,305,7.52547,1.0
2.5755,2.588,0.2,0.92,1.4,0.8,305,2.16471,1.12435
2.5755,2.588,0.4,0.92,1.4,0.6,305,1.35896,1.35956
2.5755,2.588,0.6,0.92,1.4,0.4,305,1.11962,1.64071
2.5755,2.588,0.8,0.92,1.4,0.2,305,1.03042,1.98665
2.5755,2.588,1.0,0.92,1.4,0.0,305,1.0,2.69012
2.5755,2.588,0.0,0.92,1.4,1.0,310,7.45659,1.0
2.5755,2.588,0.2,0.92,1.4,0.8,310,2.16966,1.12336
2.5755,2.588,0.4,0.92,1.4,0.6,310,1.36333,1.35799
2.5755,2.588,0.6,0.92,1.4,0.4,310,1.1218,1.64105
2.5755,2.588,0.8,0.92,1.4,0.2,310,1.0309,1.99412
2.5755,2.588,1.0,0.92,1.4,0.0,310,1.0,2.7079
2.5755,2.588,0.0,0.92,1.4,1.0,315,7.39004,1.0
2.5755,2.588,0.2,0.92,1.4,0.8,315,2.17414,1.1224
2.5755,2.588,0.4,0.92,1.4,0.6,315,1.36742,1.35645
2.5755,2.588,0.6,0.92,1.4,0.4,315,1.12382,1.64129
2.5755,2.588,0.8,0.92,1.4,0.2,315,1.03133,2.00102
2.5755,2.588,1.0,0.92,1.4,0.0,315,1.0,2.72398
1.4311,1.432,0.0,2.8042,2.576,1.0,305,2.98166,1.0
1.4311,1.432,0.2,2.8042,2.576,0.8,305,1.91959,1.04895
1.4311,1.432,0.4,2.8042,2.576,0.6,305,1.4132,1.19485
1.4311,1.432,0.6,2.8042,2.576,0.4,305,1.15694,1.45793
1.4311,1.432,0.8,2.8042,2.576,0.2,305,1.03515,1.88701
1.4311,1.432,1.0,2.8042,2.576,0.0,305,1.0,2.56182
1.4311,1.432,0.0,2.8042,2.576,1.0,310,2.93017,1.0
1.4311,1.432,0.2,2.8042,2.576,0.8,310,1.90523,1.0479
1.4311,1.432,0.4,2.8042,2.576,0.6,310,1.40944,1.19126
1.4311,1.432,0.6,2.8042,2.576,0.4,310,1.15623,1.45069
1.4311,1.432,0.8,2.8042,2.576,0.2,310,1.03512,1.87528
1.4311,1.432,1.0,2.8042,2.576,0.0,310,1.0,2.54612
1.4311,1.432,0.0,2.8042,2.576,1.0,315,2.88101,1.0
1.4311,1.432,0.2,2.8042,2.576,0.8,315,1.89121,1.04688
1.4311,1.432,0.4,2.8042,2.576,0.6,315,1.40569,1.18778
1.4311,1.432,0.6,2.8042,2.576,0.4,315,1.1555,1.44363
1.4311,1.432,0.8,2.8042,2.576,0.2,315,1.03509,1.86375
1.4311,1.432,1.0,2.8042,2.576,0.0,315,1.0,2.53051
2.8042,2.576,0.0,1.4311,1.432,1.0,305,2.56182,1.0
2.8042,2.576,0.2,1.4311,1.432,0.8,305,1.88701,1.03515
2.8042,2.576,0.4,1.4311,1.432,0.6,305,1.45793,1.15694
2.8042,2.576,0.6,1.4311,1.432,0.4,305,1.19485,1.4132
2.8042,2.576,0.8,1.4311,1.432,0.2,305,1.04895,1.91959
2.8042,2.576,1.0,1.4311,1.432,0.0,305,1.0,2.98166
2.8042,2.576,0.0,1.4311,1.432,1.0,310,2.54612,1.0
2.8042,2.576,0.2,1.4311,1.432,0.8,310,1.87528,1.03512
2.8042,2.576,0.4,1.4311,1.432,0.6,310,1.45069,1.15623
2.8042,2.576,0.6,1.4311,1.432,0.4,310,1.19126,1.40944
2.8042,2.576,0.8,1.4311,1.432,0.2,310,1.0479,1.90523
2.8042,2.576,1.0,1.4311,1.432,0.0,310,1.0,2.93017
2.8042,2.576,0.0,1.4311,1.432,1.0,315,2.53051,1.0
2.8042,2.576,0.2,1.4311,1.432,0.8,315,1.86375,1.03509
2.8042,2.576,0.4,1.4311,1.432,0.6,315,1.44363,1.1555
2.8042,2.576,0.6,1.4311,1.432,0.4,315,1.18778,1.40569
2.8042,2.576,0.8,1.4311,1.432,0.2,315,1.04688,1.89121
2.8042,2.576,1.0,1.4311,1.432,0.0,315,1.0,2.88101
