r_1,q_1,x_1,r_2,q_2,x_2,T,gamma_1,gamma_2
9.5482,7.976,0.0,5.8486,4.936,1.0,398.839,0.102989708,0.0
9.5482,7.976,0.01,5.8486,4.936,0.99,399.213,0.098514133,2e-05
9.5482,7.976,0.02,5.8486,4.936,0.98,399.59,0.094218675,7.9997e-05
9.5482,7.976,0.03,5.8486,4.936,0.97,399.971,0.090096613,0.000179984
9.5482,7.976,0.04,5.8486,4.936,0.96,400.355,0.086131824,0.000319949
9.5482,7.976,0.05,5.8486,4.936,0.95,400.742,0.082326252,0.00048988
9.5482,7.976,0.06,5.8486,4.936,0.94,401.134,0.078663295,0.000679769
9.5482,7.976,0.07,5.8486,4.936,0.93,401.529,0.075153854,0.000909586
9.5482,7.976,0.08,5.8486,4.936,0.92,401.929,0.071780981,0.001169316
9.5482,7.976,0.09,5.8486,4.936,0.91,402.334,0.068536767,0.00144895
9.5482,7.976,0.1,5.8486,4.936,0.9,402.743,0.065422505,0.001748471
9.5482,7.976,0.11,5.8486,4.936,0.89,403.157,0.062439445,0.002067861
9.5482,7.976,0.12,5.8486,4.936,0.88,403.576,0.059569948,0.002417077
9.5482,7.976,0.13,5.8486,4.936,0.87,404.0,0.056815022,0.002776143
9.5482,7.976,0.14,5.8486,4.936,0.86,404.43,0.054166164,0.003155018
9.5482,7.976,0.15,5.8486,4.936,0.85,404.866,0.051633736,0.003543714
9.5482,7.976,0.16,5.8486,4.936,0.84,405.307,0.049199604,0.00395218
9.5482,7.976,0.17,5.8486,4.936,0.83,405.755,0.04685496,0.004370436
9.5482,7.976,0.18,5.8486,4.936,0.82,406.209,0.044610011,0.004798469
9.5482,7.976,0.19,5.8486,4.936,0.81,406.67,0.042465443,0.005236267
9.5482,7.976,0.2,5.8486,4.936,0.8,407.137,0.040393103,0.005683816
9.5482,7.976,0.21,5.8486,4.936,0.79,407.612,0.038412694,0.006141105
9.5482,7.976,0.22,5.8486,4.936,0.78,408.094,0.036515133,0.006608118
9.5482,7.976,0.23,5.8486,4.936,0.77,408.583,0.034700899,0.007074914
9.5482,7.976,0.24,5.8486,4.936,0.76,409.081,0.0329511,0.007541491
9.5482,7.976,0.25,5.8486,4.936,0.75,409.586,0.031285466,0.008017772
9.5482,7.976,0.26,5.8486,4.936,0.74,410.1,0.029685008,0.008493825
9.5482,7.976,0.27,5.8486,4.936,0.73,410.622,0.028150043,0.008979563
9.5482,7.976,0.28,5.8486,4.936,0.72,411.154,0.026680879,0.009455159
9.5482,7.976,0.29,5.8486,4.936,0.71,411.694,0.025268057,0.00994043
9.5482,7.976,0.3,5.8486,4.936,0.7,412.245,0.023921584,0.010415569
9.5482,7.976,0.31,5.8486,4.936,0.69,412.805,0.02264173,0.010890483
9.5482,7.976,0.32,5.8486,4.936,0.68,413.375,0.021409179,0.011365171
9.5482,7.976,0.33,5.8486,4.936,0.67,413.956,0.020224107,0.011839634
9.5482,7.976,0.34,5.8486,4.936,0.66,414.548,0.019106306,0.012313872
9.5482,7.976,0.35,5.8486,4.936,0.65,415.152,0.018026541,0.012778012
9.5482,7.976,0.36,5.8486,4.936,0.64,415.767,0.016994767,0.013232069
9.5482,7.976,0.37,5.8486,4.936,0.63,416.395,0.016020976,0.013685919
9.5482,7.976,0.38,5.8486,4.936,0.62,417.035,0.015075787,0.014129704
9.5482,7.976,0.39,5.8486,4.936,0.61,417.688,0.01418886,0.014573292
9.5482,7.976,0.4,5.8486,4.936,0.6,418.355,0.013330749,0.015006832
9.5482,7.976,0.41,5.8486,4.936,0.59,419.036,0.012521281,0.015430338
9.5482,7.976,0.42,5.8486,4.936,0.58,419.731,0.011750689,0.015843821
9.5482,7.976,0.43,5.8486,4.936,0.57,420.442,0.011009176,0.016247295
9.5482,7.976,0.44,5.8486,4.936,0.56,421.169,0.010306703,0.016640771
9.5482,7.976,0.45,5.8486,4.936,0.55,421.912,0.009643353,0.017034093
9.5482,7.976,0.46,5.8486,4.936,0.54,422.672,0.009009294,0.017407605
9.5482,7.976,0.47,5.8486,4.936,0.53,423.45,0.008404582,0.017771153
9.5482,7.976,0.48,5.8486,4.936,0.52,424.246,0.007829271,0.01812475
9.5482,7.976,0.49,5.8486,4.936,0.51,425.061,0.007293339,0.018458587
9.5482,7.976,0.5,5.8486,4.936,0.5,425.897,0.006776984,0.018792313
9.5482,7.976,0.51,5.8486,4.936,0.49,426.753,0.006290175,0.019106306
9.5482,7.976,0.52,5.8486,4.936,0.48,427.631,0.005832955,0.019400586
9.5482,7.976,0.53,5.8486,4.936,0.47,428.532,0.005395419,0.019684973
9.5482,7.976,0.54,5.8486,4.936,0.46,429.456,0.004977591,0.019959478
9.5482,7.976,0.55,5.8486,4.936,0.45,430.405,0.004589452,0.020214307
9.5482,7.976,0.56,5.8486,4.936,0.44,431.38,0.004221079,0.020449477
9.5482,7.976,0.57,5.8486,4.936,0.43,432.383,0.003882454,0.020674796
9.5482,7.976,0.58,5.8486,4.936,0.42,433.413,0.003553678,0.020880478
9.5482,7.976,0.59,5.8486,4.936,0.41,434.474,0.00324473,0.021066534
9.5482,7.976,0.6,5.8486,4.936,0.4,435.565,0.002965598,0.021232976
9.5482,7.976,0.61,5.8486,4.936,0.39,436.69,0.002696362,0.021389603
9.5482,7.976,0.62,5.8486,4.936,0.38,437.849,0.002447004,0.021516843
9.5482,7.976,0.63,5.8486,4.936,0.37,439.044,0.002207562,0.021624496
9.5482,7.976,0.64,5.8486,4.936,0.36,440.277,0.001988023,0.021722352
9.5482,7.976,0.65,5.8486,4.936,0.35,441.55,0.0017884,0.021790846
9.5482,7.976,0.66,5.8486,4.936,0.34,442.865,0.001598721,0.021839767
9.5482,7.976,0.67,5.8486,4.936,0.33,444.226,0.001418993,0.021859334
9.5482,7.976,0.68,5.8486,4.936,0.32,445.633,0.001259207,0.021859334
9.5482,7.976,0.69,5.8486,4.936,0.31,447.09,0.001109384,0.021839767
9.5482,7.976,0.7,5.8486,4.936,0.3,448.599,0.00096953,0.021781061
9.5482,7.976,0.71,5.8486,4.936,0.29,450.165,0.000849639,0.021712567
9.5482,7.976,0.72,5.8486,4.936,0.28,451.789,0.000729734,0.021604924
9.5482,7.976,0.73,5.8486,4.936,0.27,453.476,0.000629802,0.021477694
9.5482,7.976,0.74,5.8486,4.936,0.26,455.23,0.00052986,0.021311293
9.5482,7.976,0.75,5.8486,4.936,0.25,457.054,0.000449899,0.021125282
9.5482,7.976,0.76,5.8486,4.936,0.24,458.952,0.000369932,0.020900064
9.5482,7.976,0.77,5.8486,4.936,0.23,460.931,0.000299955,0.020645409
9.5482,7.976,0.78,5.8486,4.936,0.22,462.994,0.000239971,0.020361295
9.5482,7.976,0.79,5.8486,4.936,0.21,465.147,0.000189982,0.020037894
9.5482,7.976,0.8,5.8486,4.936,0.2,467.395,0.00013999,0.019675168
9.5482,7.976,0.81,5.8486,4.936,0.19,469.745,9.9995e-05,0.019282884
9.5482,7.976,0.82,5.8486,4.936,0.18,472.202,6.9998e-05,0.018841381
9.5482,7.976,0.83,5.8486,4.936,0.17,474.774,3.9999e-05,0.018360411
9.5482,7.976,0.84,5.8486,4.936,0.16,477.467,2e-05,0.017839918
9.5482,7.976,0.85,5.8486,4.936,0.15,480.287,-3e-06,0.01727984
9.5482,7.976,0.86,5.8486,4.936,0.14,483.242,-1.7e-05,0.016670276
9.5482,7.976,0.87,5.8486,4.936,0.13,486.337,-2.7e-05,0.016011135
9.5482,7.976,0.88,5.8486,4.936,0.12,489.58,-3.4001e-05,0.01530232
9.5482,7.976,0.89,5.8486,4.936,0.11,492.974,-3.7001e-05,0.014553581
9.5482,7.976,0.9,5.8486,4.936,0.1,496.525,-3.8001e-05,0.013754965
9.5482,7.976,0.91,5.8486,4.936,0.09,500.235,-3.7001e-05,0.012906354
9.5482,7.976,0.92,5.8486,4.936,0.08,504.103,-3.4001e-05,0.012007619
9.5482,7.976,0.93,5.8486,4.936,0.07,508.13,-3e-05,0.011058627
9.5482,7.976,0.94,5.8486,4.936,0.06,512.307,-2.5e-05,0.010069136
9.5482,7.976,0.95,5.8486,4.936,0.05,516.629,-1.9e-05,0.009029115
9.5482,7.976,0.96,5.8486,4.936,0.04,521.081,-1.3e-05,0.007958249
9.5482,7.976,0.97,5.8486,4.936,0.03,525.646,-8e-06,0.006846509
9.5482,7.976,0.98,5.8486,4.936,0.02,530.301,-4e-06,0.005703703
9.5482,7.976,0.99,5.8486,4.936,0.01,535.021,-1e-06,0.00453968
9.5482,7.976,1.0,5.8486,4.936,0.0,539.774,0.0,0.003354368
5.8486,4.936,0.0,9.5482,7.976,1.0,539.774,0.003354368,0.0
5.8486,4.936,0.01,9.5482,7.976,0.99,535.021,0.00453968,-1e-06
5.8486,4.936,0.02,9.5482,7.976,0.98,530.301,0.005703703,-4e-06
5.8486,4.936,0.03,9.5482,7.976,0.97,525.646,0.006846509,-8e-06
5.8486,4.936,0.04,9.5482,7.976,0.96,521.081,0.007958249,-1.3e-05
