r_1,x_1,r_2,T,gamma_1,gamma_2
9.9262,0.0,5.8486,398.839,0.102989708,0.0
9.9262,0.01,5.8486,399.213,0.098514133,2e-05
9.9262,0.02,5.8486,399.59,0.094218675,7.9997e-05
9.9262,0.03,5.8486,399.971,0.090096613,0.000179984
9.9262,0.04,5.8486,400.355,0.086131824,0.000319949
9.9262,0.05,5.8486,400.742,0.082326252,0.00048988
9.9262,0.06,5.8486,401.134,0.078663295,0.000679769
9.9262,0.07,5.8486,401.529,0.075153854,0.000909586
9.9262,0.08,5.8486,401.929,0.071780981,0.001169316
9.9262,0.09,5.8486,402.334,0.068536767,0.00144895
9.9262,0.1,5.8486,402.743,0.065422505,0.001748471
9.9262,0.11,5.8486,403.157,0.062439445,0.002067861
9.9262,0.12,5.8486,403.576,0.059569948,0.002417077
9.9262,0.13,5.8486,404.0,0.056815022,0.002776143
9.9262,0.14,5.8486,404.43,0.054166164,0.003155018
9.9262,0.15,5.8486,404.866,0.051633736,0.003543714
9.9262,0.16,5.8486,405.307,0.049199604,0.00395218
9.9262,0.17,5.8486,405.755,0.04685496,0.004370436
9.9262,0.18,5.8486,406.209,0.044610011,0.004798469
9.9262,0.19,5.8486,406.67,0.042465443,0.005236267
9.9262,0.2,5.8486,407.137,0.040393103,0.005683816
9.9262,0.21,5.8486,407.612,0.038412694,0.006141105
9.9262,0.22,5.8486,408.094,0.036515133,0.006608118
9.9262,0.23,5.8486,408.583,0.034700899,0.007074914
9.9262,0.24,5.8486,409.081,0.0329511,0.007541491
9.9262,0.25,5.8486,409.586,0.031285466,0.008017772
9.9262,0.26,5.8486,410.1,0.029685008,0.008493825
9.9262,0.27,5.8486,410.622,0.028150043,0.008979563
9.9262,0.28,5.8486,411.154,0.026680879,0.009455159
9.9262,0.29,5.8486,411.694,0.025268057,0.00994043
9.9262,0.3,5.8486,412.245,0.023921584,0.010415569
9.9262,0.31,5.8486,412.805,0.02264173,0.010890483
9.9262,0.32,5.8486,413.375,0.021409179,0.011365171
9.9262,0.33,5.8486,413.956,0.020224107,0.011839634
9.9262,0.34,5.8486,414.548,0.019106306,0.012313872
9.9262,0.35,5.8486,415.152,0.018026541,0.012778012
9.9262,0.36,5.8486,415.767,0.016994767,0.013232069
9.9262,0.37,5.8486,416.395,0.016020976,0.013685919
9.9262,0.38,5.8486,417.035,0.015075787,0.014129704
9.9262,0.39,5.8486,417.688,0.01418886,0.014573292
9.9262,0.4,5.8486,418.355,0.013330749,0.015006832
9.9262,0.41,5.8486,419.036,0.012521281,0.015430338
9.9262,0.42,5.8486,419.731,0.011750689,0.015843821
9.9262,0.43,5.8486,420.442,0.011009176,0.016247295
9.9262,0.44,5.8486,421.169,0.010306703,0.016640771
9.9262,0.45,5.8486,421.912,0.009643353,0.017034093
9.9262,0.46,5.8486,422.672,0.009009294,0.017407605
9.9262,0.47,5.8486,423.45,0.008404582,0.017771153
9.9262,0.48,5.8486,424.246,0.007829271,0.01812475
9.9262,0.49,5.8486,425.061,0.007293339,0.018458587
9.9262,0.5,5.8486,425.897,0.006776984,0.018792313
9.9262,0.51,5.8486,426.753,0.006290175,0.019106306
9.9262,0.52,5.8486,427.631,0.005832955,0.019400586
9.9262,0.53,5.8486,428.532,0.005395419,0.019684973
9.9262,0.54,5.8486,429.456,0.004977591,0.019959478
9.9262,0.55,5.8486,430.405,0.004589452,0.020214307
9.9262,0.56,5.8486,431.38,0.004221079,0.020449477
9.9262,0.57,5.8486,432.383,0.003882454,0.020674796
9.9262,0.58,5.8486,433.413,0.003553678,0.020880478
9.9262,0.59,5.8486,434.474,0.00324473,0.021066534
9.9262,0.6,5.8486,435.565,0.002965598,0.021232976
9.9262,0.61,5.8486,436.69,0.002696362,0.021389603
9.9262,0.62,5.8486,437.849,0.002447004,0.021516843
9.9262,0.63,5.8486,439.044,0.002207562,0.021624496
9.9262,0.64,5.8486,440.277,0.001988023,0.021722352
9.9262,0.65,5.8486,441.55,0.0017884,0.021790846
9.9262,0.66,5.8486,442.865,0.001598721,0.021839767
9.9262,0.67,5.8486,444.226,0.001418993,0.021859334
9.9262,0.68,5.8486,445.633,0.001259207,0.021859334
9.9262,0.69,5.8486,447.09,0.001109384,0.021839767
9.9262,0.7,5.8486,448.599,0.00096953,0.021781061
9.9262,0.71,5.8486,450.165,0.000849639,0.021712567
9.9262,0.72,5.8486,451.789,0.000729734,0.021604924
9.9262,0.73,5.8486,453.476,0.000629802,0.021477694
9.9262,0.74,5.8486,455.23,0.00052986,0.021311293
9.9262,0.75,5.8486,457.054,0.000449899,0.021125282
9.9262,0.76,5.8486,458.952,0.000369932,0.020900064
9.9262,0.77,5.8486,460.931,0.000299955,0.020645409
9.9262,0.78,5.8486,462.994,0.000239971,0.020361295
9.9262,0.79,5.8486,465.147,0.000189982,0.020037894
9.9262,0.8,5.8486,467.395,0.00013999,0.019675168
9.9262,0.81,5.8486,469.745,9.9995e-05,0.019282884
9.9262,0.82,5.8486,472.202,6.9998e-05,0.018841381
9.9262,0.83,5.8486,474.774,3.9999e-05,0.018360411
9.9262,0.84,5.8486,477.467,2e-05,0.017839918
9.9262,0.85,5.8486,480.287,-3e-06,0.01727984
9.9262,0.86,5.8486,483.242,-1.7e-05,0.016670276
9.9262,0.87,5.8486,486.337,-2.7e-05,0.016011135
9.9262,0.88,5.8486,489.58,-3.4001e-05,0.01530232
9.9262,0.89,5.8486,492.974,-3.7001e-05,0.014553581
9.9262,0.9,5.8486,496.525,-3.8001e-05,0.013754965
9.9262,0.91,5.8486,500.235,-3.7001e-05,0.012906354
9.9262,0.92,5.8486,504.103,-3.4001e-05,0.012007619
9.9262,0.93,5.8486,508.13,-3e-05,0.011058627
9.9262,0.94,5.8486,512.307,-2.5e-05,0.010069136
9.9262,0.95,5.8486,516.629,-1.9e-05,0.009029115
9.9262,0.96,5.8486,521.081,-1.3e-05,0.007958249
9.9262,0.97,5.8486,525.646,-8e-06,0.006846509
9.9262,0.98,5.8486,530.301,-4e-06,0.005703703
9.9262,0.99,5.8486,535.021,-1e-06,0.00453968
9.9262,1.0,5.8486,539.774,0.0,0.003354368
5.8486,0.0,9.9262,539.774,0.003354368,0.0
5.8486,0.01,9.9262,535.021,0.00453968,-1e-06
5.8486,0.02,9.9262,530.301,0.005703703,-4e-06
5.8486,0.03,9.9262,525.646,0.006846509,-8e-06
5.8486,0.04,9.9262,521.081,0.007958249,-1.3e-05
5.8486,0.05,9.9262,516.629,0.009029115,-1.9e-05
5.8486,0.06,9.9262,512.307,0.010069136,-2.5e-05
5.8486,0.07,9.9262,508.13,0.011058627,-3e-05
5.8486,0.08,9.9262,504.103,0.012007619,-3.4001e-05
5.8486,0.09,9.9262,500.235,0.012906354,-3.7001e-05
5.8486,0.1,9.9262,496.525,0.013754965,-3.8001e-05
5.8486,0.11,9.9262,492.974,0.014553581,-3.7001e-05
5.8486,0.12,9.9262,489.58,0.01530232,-3.4001e-05
5.8486,0.13,9.9262,486.337,0.016011135,-2.7e-05
5.8486,0.14,9.9262,483.242,0.016670276,-1.7e-05
5.8486,0.15,9.9262,480.287,0.01727984,-3e-06
5.8486,0.16,9.9262,477.467,0.017839918,2e-05
5.8486,0.17,9.9262,474.774,0.018360411,3.9999e-05
5.8486,0.18,9.9262,472.202,0.018841381,6.9998e-05
5.8486,0.19,9.9262,469.745,0.019282884,9.9995e-05
5.8486,0.2,9.9262,467.395,0.019675168,0.00013999
5.8486,0.21,9.9262,465.147,0.020037894,0.000189982
5.8486,0.22,9.9262,462.994,0.020361295,0.000239971
5.8486,0.23,9.9262,460.931,0.020645409,0.000299955
5.8486,0.24,9.9262,458.952,0.020900064,0.000369932
5.8486,0.25,9.9262,457.054,0.021125282,0.000449899
5.8486,0.26,9.9262,455.23,0.021311293,0.00052986
5.8486,0.27,9.9262,453.476,0.021477694,0.000629802
5.8486,0.28,9.9262,451.789,0.021604924,0.000729734
5.8486,0.29,9.9262,450.165,0.021712567,0.000849639
5.8486,0.3,9.9262,448.599,0.021781061,0.00096953
5.8486,0.31,9.9262,447.09,0.021839767,0.001109384
5.8486,0.32,9.9262,445.633,0.021859334,0.001259207
5.8486,0.33,9.9262,444.226,0.021859334,0.001418993
5.8486,0.34,9.9262,442.865,0.021839767,0.001598721
5.8486,0.35,9.9262,441.55,0.021790846,0.0017884
5.8486,0.36,9.9262,440.277,0.021722352,0.001988023
5.8486,0.37,9.9262,439.044,0.021624496,0.002207562
5.8486,0.38,9.9262,437.849,0.021516843,0.002447004
5.8486,0.39,9.9262,436.69,0.021389603,0.002696362
5.8486,0.4,9.9262,435.565,0.021232976,0.002965598
5.8486,0.41,9.9262,434.474,0.021066534,0.00324473
5.8486,0.42,9.9262,433.413,0.020880478,0.003553678
5.8486,0.43,9.9262,432.383,0.020674796,0.003882454
5.8486,0.44,9.9262,431.38,0.020449477,0.004221079
5.8486,0.45,9.9262,430.405,0.020214307,0.004589452
5.8486,0.46,9.9262,429.456,0.019959478,0.004977591
5.8486,0.47,9.9262,428.532,0.019684973,0.005395419
5.8486,0.48,9.9262,427.631,0.019400586,0.005832955
5.8486,0.49,9.9262,426.753,0.019106306,0.006290175
5.8486,0.5,9.9262,425.897,0.018792313,0.006776984
5.8486,0.51,9.9262,425.061,0.018458587,0.007293339
5.8486,0.52,9.9262,424.246,0.01812475,0.007829271
5.8486,0.53,9.9262,423.45,0.017771153,0.008404582
5.8486,0.54,9.9262,422.672,0.017407605,0.009009294
5.8486,0.55,9.9262,421.912,0.017034093,0.009643353
5.8486,0.56,9.9262,421.169,0.016640771,0.010306703
5.8486,0.57,9.9262,420.442,0.016247295,0.011009176
5.8486,0.58,9.9262,419.731,0.015843821,0.011750689
5.8486,0.59,9.9262,419.036,0.015430338,0.012521281
5.8486,0.6,9.9262,418.355,0.015006832,0.013330749
5.8486,0.61,9.9262,417.688,0.014573292,0.01418886
5.8486,0.62,9.9262,417.035,0.014129704,0.015075787
5.8486,0.63,9.9262,416.395,0.013685919,0.016020976
5.8486,0.64,9.9262,415.767,0.013232069,0.016994767
5.8486,0.65,9.9262,415.152,0.012778012,0.018026541
5.8486,0.66,9.9262,414.548,0.012313872,0.019106306
5.8486,0.67,9.9262,413.956,0.011839634,0.020224107
5.8486,0.68,9.9262,413.375,0.011365171,0.021409179
5.8486,0.69,9.9262,412.805,0.010890483,0.02264173
5.8486,0.7,9.9262,412.245,0.010415569,0.023921584
5.8486,0.71,9.9262,411.694,0.00994043,0.025268057
5.8486,0.72,9.9262,411.154,0.009455159,0.026680879
5.8486,0.73,9.9262,410.622,0.008979563,0.028150043
5.8486,0.74,9.9262,410.1,0.008493825,0.029685008
5.8486,0.75,9.9262,409.586,0.008017772,0.031285466
5.8486,0.76,9.9262,409.081,0.007541491,0.0329511
5.8486,0.77,9.9262,408.583,0.007074914,0.034700899
5.8486,0.78,9.9262,408.094,0.006608118,0.036515133
5.8486,0.79,9.9262,407.612,0.006141105,0.038412694
5.8486,0.8,9.9262,407.137,0.005683816,0.040393103
5.8486,0.81,9.9262,406.67,0.005236267,0.042465443
5.8486,0.82,9.9262,406.209,0.004798469,0.044610011
5.8486,0.83,9.9262,405.755,0.004370436,0.04685496
5.8486,0.84,9.9262,405.307,0.00395218,0.049199604
5.8486,0.85,9.9262,404.866,0.003543714,0.051633736
5.8486,0.86,9.9262,404.43,0.003155018,0.054166164
5.8486,0.87,9.9262,404.0,0.002776143,0.056815022
5.8486,0.88,9.9262,403.576,0.002417077,0.059569948
5.8486,0.89,9.9262,403.157,0.002067861,0.062439445
5.8486,0.9,9.9262,402.743,0.001748471,0.065422505
5.8486,0.91,9.9262,402.334,0.00144895,0.068536767
5.8486,0.92,9.9262,401.929,0.001169316,0.071780981
5.8486,0.93,9.9262,401.529,0.000909586,0.075153854
5.8486,0.94,9.9262,401.134,0.000679769,0.078663295
5.8486,0.95,9.9262,400.742,0.00048988,0.082326252
5.8486,0.96,9.9262,400.355,0.000319949,0.086131824
5.8486,0.97,9.9262,399.971,0.000179984,0.090096613
5.8486,0.98,9.9262,399.59,7.9997e-05,0.094218675
5.8486,0.99,9.9262,399.213,2e-05,0.098514133
5.8486,1.0,9.9262,398.839,0.0,0.102989708
13.9726,0.0,7.1974,447.459,-0.094253538,0.0
13.9726,0.01,7.1974,447.873,-0.092584697,-9e-06
13.9726,0.02,7.1974,448.293,-0.090900019,-3.7001e-05
13.9726,0.03,7.1974,448.719,-0.089202867,-8.5004e-05
13.9726,0.04,7.1974,449.152,-0.087494403,-0.000152012
13.9726,0.05,7.1974,449.591,-0.085779046,-0.000240029
13.9726,0.06,7.1974,450.036,-0.084059012,-0.000349061
13.9726,0.07,7.1974,450.489,-0.082335417,-0.000480115
13.9726,0.08,7.1974,450.948,-0.08061262,-0.000631199
13.9726,0.09,7.1974,451.415,-0.078890622,-0.000805324
13.9726,0.1,7.1974,451.888,-0.077172664,-0.001001501
13.9726,0.11,7.1974,452.37,-0.075459809,-0.001219744
13.9726,0.12,7.1974,452.859,-0.073754189,-0.001460065
13.9726,0.13,7.1974,453.355,-0.072056846,-0.001723484
13.9726,0.14,7.1974,453.86,-0.070368818,-0.002009017
13.9726,0.15,7.1974,454.373,-0.068692202,-0.002317684
13.9726,0.16,7.1974,454.895,-0.067029087,-0.002649507
13.9726,0.17,7.1974,455.425,-0.06537834,-0.003003506
13.9726,0.18,7.1974,455.964,-0.063742038,-0.003380708
13.9726,0.19,7.1974,456.512,-0.062121179,-0.003780136
13.9726,0.2,7.1974,457.069,-0.060516753,-0.004201815
13.9726,0.21,7.1974,457.636,-0.058928686,-0.00464678
13.9726,0.22,7.1974,458.213,-0.057359022,-0.005114055
13.9726,0.23,7.1974,458.8,-0.055807679,-0.005604677
13.9726,0.24,7.1974,459.397,-0.054274576,-0.006116669
13.9726,0.25,7.1974,460.005,-0.05276174,-0.006651069
13.9726,0.26,7.1974,460.624,-0.051269084,-0.007207915
13.9726,0.27,7.1974,461.254,-0.049795469,-0.007787242
13.9726,0.28,7.1974,461.896,-0.048343964,-0.008387073
13.9726,0.29,7.1974,462.549,-0.046913426,-0.009010473
13.9726,0.3,7.1974,463.215,-0.04550377,-0.009654455
13.9726,0.31,7.1974,463.894,-0.044115955,-0.010320069
13.9726,0.32,7.1974,464.586,-0.042750937,-0.011006348
13.9726,0.33,7.1974,465.291,-0.041407583,-0.011715358
13.9726,0.34,7.1974,466.01,-0.040086848,-0.012444108
13.9726,0.35,7.1974,466.743,-0.038788647,-0.013194668
13.9726,0.36,7.1974,467.491,-0.037512892,-0.013965059
13.9726,0.37,7.1974,468.254,-0.036260539,-0.014757356
13.9726,0.38,7.1974,469.033,-0.035030465,-0.015569579
13.9726,0.39,7.1974,469.829,-0.033823624,-0.016401777
13.9726,0.4,7.1974,470.641,-0.032639934,-0.017255015
13.9726,0.41,7.1974,471.471,-0.031479315,-0.018127311
13.9726,0.42,7.1974,472.319,-0.030341689,-0.019019734
13.9726,0.43,7.1974,473.186,-0.029226977,-0.019933356
13.9726,0.44,7.1974,474.073,-0.028135106,-0.020865172
13.9726,0.45,7.1974,474.98,-0.027066002,-0.021817275
13.9726,0.46,7.1974,475.908,-0.026020619,-0.022788701
13.9726,0.47,7.1974,476.857,-0.024997859,-0.023779505
13.9726,0.48,7.1974,477.83,-0.023997654,-0.024789742
13.9726,0.49,7.1974,478.827,-0.023019937,-0.025818446
