substance_1,substance_2,x_1,x_2,MM,lnPvap,Method
Ethyl Octanoate,,1,0,172.2646,3.074711,0
Butanol,Ethyl Octanoate,0.05,0.95,167.3575,4.171576,0
Butanol,Ethyl Octanoate,0.1,0.9,162.4503,4.682051,0
Butanol,Ethyl Octanoate,0.15,0.85,157.5432,5.018373,0
Butanol,Ethyl Octanoate,0.2,0.8,152.636,5.269604,0
Butanol,Ethyl Octanoate,0.25,0.75,147.7289,5.470222,0
Butanol,Ethyl Octanoate,0.3,0.7,142.8217,5.637239,0
Butanol,Ethyl Octanoate,0.35,0.65,137.9146,5.780313,0
Butanol,Ethyl Octanoate,0.4,0.6,133.0074,5.905456,0
Butanol,Ethyl Octanoate,0.45,0.55,128.1003,6.016665,0
Butanol,Ethyl Octanoate,0.5,0.5,123.1931,6.116736,0
Butanol,Ethyl Octanoate,0.55,0.45,118.286,6.207696,0
Butanol,Ethyl Octanoate,0.6,0.4,113.3788,6.291069,0
Butanol,Ethyl Octanoate,0.65,0.35,108.4717,6.368022,0
Butanol,Ethyl Octanoate,0.7,0.3,103.5645,6.439474,0
Butanol,Ethyl Octanoate,0.75,0.25,98.65735,6.50616,0
Butanol,Ethyl Octanoate,0.8,0.2,93.7502,6.568675,0
Butanol,Ethyl Octanoate,0.85,0.15,88.84305,6.627511,0
Butanol,Ethyl Octanoate,0.9,0.1,83.9359,6.683077,0
Butanol,Ethyl Octanoate,0.95,0.05,79.02875,6.735717,0
Butanol,,1,0,74.1216,6.785724,0
Ethyl Decanoate,,1,0,200.3178,0.818315,0
Butanol,Ethyl Decanoate,0.05,0.95,194.008,3.837502,0
Butanol,Ethyl Decanoate,0.1,0.9,187.6982,4.505925,0
Butanol,Ethyl Decanoate,0.15,0.85,181.3884,4.903012,0
Butanol,Ethyl Decanoate,0.2,0.8,175.0786,5.186478,0
Butanol,Ethyl Decanoate,0.25,0.75,168.7688,5.407083,0
Butanol,Ethyl Decanoate,0.3,0.7,162.4589,5.587709,0
Butanol,Ethyl Decanoate,0.35,0.65,156.1491,5.740647,0
Butanol,Ethyl Decanoate,0.4,0.6,149.8393,5.873267,0
Butanol,Ethyl Decanoate,0.45,0.55,143.5295,5.990342,0
Butanol,Ethyl Decanoate,0.5,0.5,137.2197,6.095135,0
Butanol,Ethyl Decanoate,0.55,0.45,130.9099,6.18998,0
Butanol,Ethyl Decanoate,0.6,0.4,124.6001,6.276604,0
Butanol,Ethyl Decanoate,0.65,0.35,118.2903,6.356319,0
Butanol,Ethyl Decanoate,0.7,0.3,111.9805,6.430146,0
Butanol,Ethyl Decanoate,0.75,0.25,105.6707,6.498895,0
Butanol,Ethyl Decanoate,0.8,0.2,99.36084,6.563221,0
Butanol,Ethyl Decanoate,0.85,0.15,93.05103,6.623657,0
Butanol,Ethyl Decanoate,0.9,0.1,86.74122,6.680648,0
Butanol,Ethyl Decanoate,0.95,0.05,80.43141,6.734566,0
Butanol,,1,0,74.1216,6.785724,0
Ethyl Laurate,,1,0,228.3709,-1.45063,0
Butanol,Ethyl Laurate,0.05,0.95,220.6584,3.795011,0
Butanol,Ethyl Laurate,0.1,0.9,212.946,4.48552,0
Butanol,Ethyl Laurate,0.15,0.85,205.2335,4.890104,0
Butanol,Ethyl Laurate,0.2,0.8,197.521,5.177345,0
Butanol,Ethyl Laurate,0.25,0.75,189.8086,5.400224,0
Butanol,Ethyl Laurate,0.3,0.7,182.0961,5.582369,0
Butanol,Ethyl Laurate,0.35,0.65,174.3836,5.736394,0
Butanol,Ethyl Laurate,0.4,0.6,166.6712,5.869831,0
Butanol,Ethyl Laurate,0.45,0.55,158.9587,5.98754,0
Butanol,Ethyl Laurate,0.5,0.5,151.2463,6.092842,0
Butanol,Ethyl Laurate,0.55,0.45,143.5338,6.188104,0
Butanol,Ethyl Laurate,0.6,0.4,135.8213,6.275075,0
Butanol,Ethyl Laurate,0.65,0.35,128.1089,6.355084,0
Butanol,Ethyl Laurate,0.7,0.3,120.3964,6.429163,0
