r_1,q_1,x_1,r_2,q_2,x_2,MM,lnPvap,Method,substance_1,substance_2,FP
10.6006,8.836,1.0,0.0,0.0,0.0,228.37,-1.45,0,ethyl laurate,,402.3
2.5755,2.588,0.005,5.8486,4.936,0.995,113.86,7.575678,1,ethanol,octane,286.15
2.5755,2.588,0.01,5.8486,4.936,0.99,113.49,7.593094,1,ethanol,octane,283.45
2.5755,2.588,0.02,5.8486,4.936,0.98,112.75,7.627042,1,ethanol,octane,281.95
2.5755,2.588,0.03,5.8486,4.936,0.97,112.0,7.659875,1,ethanol,octane,280.75
2.5755,2.588,0.04,5.8486,4.936,0.96,111.26,7.691664,1,ethanol,octane,279.65
2.5755,2.588,0.05,5.8486,4.936,0.95,110.52,7.722474,1,ethanol,octane,279.05
4.531,3.976,0.05,5.8486,4.936,0.95,113.62,7.50802,1,propyl acetate,octane,285.55
4.531,3.976,0.05,2.5755,2.588,0.95,43.17,9.027906,1,propyl acetate,ethanol,283.55
7.2286,6.136,0.1,8.5774,7.216,0.9,183.49,2.44,0,methyl octanoate,methyl decanoate,370.6
7.2286,6.136,0.1,9.9262,8.296,0.9,208.73,1.87,0,methyl octanoate,methyl laurate,384.6
7.2286,6.136,0.1,11.275,9.376,0.9,233.98,1.79,0,methyl octanoate,methyl myristate,393.5
7.2286,6.136,0.1,12.6238,10.456,0.9,259.23,1.78,0,methyl octanoate,methyl palmitate,396.9
7.2286,6.136,0.1,13.9726,11.536,0.9,284.48,1.78,0,methyl octanoate,methyl stearate,401.3
7.2286,6.136,0.1,13.7405,11.323,0.9,282.66,1.78,0,methyl octanoate,methyl oleate,400.4
8.5774,7.216,0.1,9.9262,8.296,0.9,211.54,0.19,0,methyl decanoate,methyl laurate,393.7
8.5774,7.216,0.1,11.275,9.376,0.9,236.79,-0.38,0,methyl decanoate,methyl myristate,407.9
8.5774,7.216,0.1,12.6238,10.456,0.9,262.03,-0.46,0,methyl decanoate,methyl palmitate,418.0
8.5774,7.216,0.1,13.9726,11.536,0.9,287.28,-0.47,0,methyl decanoate,methyl stearate,426.9
8.5774,7.216,0.1,13.7405,11.323,0.9,285.47,-0.47,0,methyl decanoate,methyl oleate,418.2
9.9262,8.296,0.1,11.275,9.376,0.9,239.59,-2.08,0,methyl laurate,methyl myristate,415.9
9.9262,8.296,0.1,12.6238,10.456,0.9,264.84,-2.65,0,methyl laurate,methyl palmitate,431.7
9.9262,8.296,0.1,13.9726,11.536,0.9,290.09,-2.73,0,methyl laurate,methyl stearate,438.4
9.9262,8.296,0.1,13.7405,11.323,0.9,288.27,-2.72,0,methyl laurate,methyl oleate,434.2
11.275,9.376,0.1,12.6238,10.456,0.9,267.65,-4.36,0,methyl myristate,methyl palmitate,437.3
11.275,9.376,0.1,13.9726,11.536,0.9,292.89,-4.92,0,methyl myristate,methyl stearate,447.4
11.275,9.376,0.1,13.7405,11.323,0.9,291.08,-4.89,0,methyl myristate,methyl oleate,442.5
12.6238,10.456,0.1,13.9726,11.536,0.9,295.7,-6.66,0,methyl palmitate,methyl stearate,454.4
7.903,6.676,0.1,10.6006,8.836,0.9,222.76,0.87,0,ethyl octanoate,ethyl laurate,390.4
7.903,6.676,0.1,11.9494,9.916,0.9,248.01,0.78,0,ethyl octanoate,ethyl myristate,399.0
7.903,6.676,0.1,13.2982,10.996,0.9,273.26,0.77,0,ethyl octanoate,ethyl palmitate,401.0
7.903,6.676,0.1,14.647,12.076,0.9,298.5,0.77,0,ethyl octanoate,ethyl stearate,407.6
7.903,6.676,0.1,14.4149,11.863,0.9,296.69,0.77,0,ethyl octanoate,ethyl oleate,406.1
7.903,6.676,0.1,14.1828,11.65,0.9,294.88,0.77,0,ethyl octanoate,ethyl linoleate,406.1
9.2518,7.756,0.1,11.9494,9.916,0.9,250.81,-1.39,0,ethyl decanoate,ethyl myristate,412.8
9.2518,7.756,0.1,13.2982,10.996,0.9,276.06,-1.47,0,ethyl decanoate,ethyl palmitate,419.5
9.2518,7.756,0.1,14.647,12.076,0.9,301.31,-1.48,0,ethyl decanoate,ethyl stearate,430.6
9.2518,7.756,0.1,14.4149,11.863,0.9,299.49,-1.48,0,ethyl decanoate,ethyl oleate,426.9
9.2518,7.756,0.1,14.1828,11.65,0.9,297.68,-1.48,0,ethyl decanoate,ethyl linoleate,426.0
10.6006,8.836,0.1,11.9494,9.916,0.9,253.62,-3.1,0,ethyl laurate,ethyl myristate,420.8
10.6006,8.836,0.1,13.2982,10.996,0.9,278.87,-3.66,0,ethyl laurate,ethyl palmitate,433.9
10.6006,8.836,0.1,14.647,12.076,0.9,304.11,-3.74,0,ethyl laurate,ethyl stearate,439.3
10.6006,8.836,0.1,14.4149,11.863,0.9,302.3,-3.74,0,ethyl laurate,ethyl oleate,440.1
10.6006,8.836,0.1,14.1828,11.65,0.9,300.49,-3.73,0,ethyl laurate,ethyl linoleate,441.8
