substance_1,substance_2,x_1,x_2,MM,lnPvap,Method,FP
ethyl laurate,,1,0,228.37,-1.45,0,402.3
ethanol,octane,0.005,0.995,113.86,7.575678,1,286.15
ethanol,octane,0.01,0.99,113.49,7.593094,1,283.45
ethanol,octane,0.02,0.98,112.75,7.627042,1,281.95
ethanol,octane,0.03,0.97,112,7.659875,1,280.75
ethanol,octane,0.04,0.96,111.26,7.691664,1,279.65
ethanol,octane,0.05,0.95,110.52,7.722474,1,279.05
propyl acetate,octane,0.05,0.95,113.62,7.50802,1,285.55
propyl acetate,ethanol,0.05,0.95,43.17,9.027906,1,283.55
methyl octanoate,methyl decanoate,0.1,0.9,183.49,2.44,0,370.6
methyl octanoate,methyl laurate,0.1,0.9,208.73,1.87,0,384.6
methyl octanoate,methyl myristate,0.1,0.9,233.98,1.79,0,393.5
methyl octanoate,methyl palmitate,0.1,0.9,259.23,1.78,0,396.9
methyl octanoate,methyl stearate,0.1,0.9,284.48,1.78,0,401.3
methyl octanoate,methyl oleate,0.1,0.9,282.66,1.78,0,400.4
methyl decanoate,methyl laurate,0.1,0.9,211.54,0.19,0,393.7
methyl decanoate,methyl myristate,0.1,0.9,236.79,-0.38,0,407.9
methyl decanoate,methyl palmitate,0.1,0.9,262.03,-0.46,0,418
methyl decanoate,methyl stearate,0.1,0.9,287.28,-0.47,0,426.9
methyl decanoate,methyl oleate,0.1,0.9,285.47,-0.47,0,418.2
methyl laurate,methyl myristate,0.1,0.9,239.59,-2.08,0,415.9
methyl laurate,methyl palmitate,0.1,0.9,264.84,-2.65,0,431.7
methyl laurate,methyl stearate,0.1,0.9,290.09,-2.73,0,438.4
methyl laurate,methyl oleate,0.1,0.9,288.27,-2.72,0,434.2
methyl myristate,methyl palmitate,0.1,0.9,267.65,-4.36,0,437.3
methyl myristate,methyl stearate,0.1,0.9,292.89,-4.92,0,447.4
methyl myristate,methyl oleate,0.1,0.9,291.08,-4.89,0,442.5
methyl palmitate,methyl stearate,0.1,0.9,295.7,-6.66,0,454.4
ethyl octanoate,ethyl laurate,0.1,0.9,222.76,0.87,0,390.4
ethyl octanoate,ethyl myristate,0.1,0.9,248.01,0.78,0,399
ethyl octanoate,ethyl palmitate,0.1,0.9,273.26,0.77,0,401
ethyl octanoate,ethyl stearate,0.1,0.9,298.5,0.77,0,407.6
ethyl octanoate,ethyl oleate,0.1,0.9,296.69,0.77,0,406.1
ethyl octanoate,ethyl linoleate,0.1,0.9,294.88,0.77,0,406.1
ethyl decanoate,ethyl myristate,0.1,0.9,250.81,-1.39,0,412.8
ethyl decanoate,ethyl palmitate,0.1,0.9,276.06,-1.47,0,419.5
ethyl decanoate,ethyl stearate,0.1,0.9,301.31,-1.48,0,430.6
ethyl decanoate,ethyl oleate,0.1,0.9,299.49,-1.48,0,426.9
ethyl decanoate,ethyl linoleate,0.1,0.9,297.68,-1.48,0,426
ethyl laurate,ethyl myristate,0.1,0.9,253.62,-3.1,0,420.8
ethyl laurate,ethyl palmitate,0.1,0.9,278.87,-3.66,0,433.9
ethyl laurate,ethyl stearate,0.1,0.9,304.11,-3.74,0,439.3
ethyl laurate,ethyl oleate,0.1,0.9,302.3,-3.74,0,440.1
ethyl laurate,ethyl linoleate,0.1,0.9,300.49,-3.73,0,441.8
ethyl myristate,ethyl palmitate,0.1,0.9,281.67,-5.39,0,439.9
ethyl myristate,ethyl stearate,0.1,0.9,301.31,-5.3,0,447.4
ethyl myristate,ethyl oleate,0.1,0.9,305.11,-5.91,0,448.1
ethyl myristate,ethyl linoleate,0.1,0.9,303.29,-5.86,0,448.5
ethanol,octane,0.1,0.9,106.81,7.863713,1,278.35
methyl butyrate,octane,0.1,0.9,113.02,7.456348,1,284.75
methyl butyrate,ethanol,0.1,0.9,46.27,8.974363,1,282.85
propyl acetate,octane,0.1,0.9,113.02,7.455462,1,284.65
propyl acetate,ethanol,0.1,0.9,46.27,8.974169,1,282.95
butanol,ethyl octanoate,0.1,0.9,162.45,4.79,0,337.18
butanol,ethyl decanoate,0.1,0.9,187.7,4.64,0,343.32
butanol,ethyl laurate,0.1,0.9,212.95,4.62,0,341.84
butanol,ethyl myristate,0.1,0.9,238.19,4.62,0,346.88
ethanol,dodecane,0.18,0.82,146.89,7.37,0,293.4
methyl octanoate,methyl decanoate,0.2,0.8,180.68,2.82,0,365.6
methyl octanoate,methyl laurate,0.2,0.8,203.12,2.51,0,376.3
methyl octanoate,methyl myristate,0.2,0.8,225.57,2.47,0,380.1
methyl octanoate,methyl palmitate,0.2,0.8,248.01,2.47,0,382.6
methyl octanoate,methyl stearate,0.2,0.8,270.45,2.47,0,385.5
methyl octanoate,methyl oleate,0.2,0.8,268.84,2.47,0,383.1
methyl decanoate,methyl laurate,0.2,0.8,208.73,0.57,0,390.7
methyl decanoate,methyl myristate,0.2,0.8,231.18,0.26,0,400.3
methyl decanoate,methyl palmitate,0.2,0.8,253.62,0.22,0,405
methyl decanoate,methyl stearate,0.2,0.8,276.06,0.22,0,408.6
methyl decanoate,methyl oleate,0.2,0.8,274.45,0.22,0,407.8
methyl laurate,methyl myristate,0.2,0.8,236.79,-1.7,0,412.3
methyl laurate,methyl palmitate,0.2,0.8,259.23,-2,0,422.9
methyl laurate,methyl stearate,0.2,0.8,281.67,-2.04,0,427.3
methyl laurate,methyl oleate,0.2,0.8,280.06,-2.04,0,425.2
methyl myristate,methyl palmitate,0.2,0.8,264.84,-3.98,0,434.9
methyl myristate,methyl stearate,0.2,0.8,287.28,-4.28,0,442.4
methyl myristate,methyl oleate,0.2,0.8,285.67,-4.26,0,436.8
methyl palmitate,methyl stearate,0.2,0.8,292.89,-6.27,0,449.9
ethyl octanoate,ethyl laurate,0.2,0.8,217.15,1.51,0,381.5
ethyl octanoate,ethyl myristate,0.2,0.8,239.59,1.47,0,386.3
ethyl octanoate,ethyl palmitate,0.2,0.8,262.03,1.47,0,385
ethyl octanoate,ethyl stearate,0.2,0.8,284.48,1.47,0,390
ethyl octanoate,ethyl oleate,0.2,0.8,282.86,1.47,0,388.8
ethyl octanoate,ethyl linoleate,0.2,0.8,281.25,1.47,0,388.8
ethyl decanoate,ethyl myristate,0.2,0.8,245.2,-0.75,0,403.9
ethyl decanoate,ethyl palmitate,0.2,0.8,267.65,-0.79,0,411.7
ethyl decanoate,ethyl stearate,0.2,0.8,290.09,-0.79,0,414.3
ethyl decanoate,ethyl oleate,0.2,0.8,288.48,-0.79,0,413.9
ethyl decanoate,ethyl linoleate,0.2,0.8,286.86,-0.79,0,414
ethyl laurate,ethyl myristate,0.2,0.8,250.81,-2.72,0,417.8
ethyl laurate,ethyl palmitate,0.2,0.8,273.26,-3.02,0,427.9
ethyl laurate,ethyl stearate,0.2,0.8,295.7,-3.06,0,432.1
ethyl laurate,ethyl oleate,0.2,0.8,294.09,-3.05,0,430.8
ethyl laurate,ethyl linoleate,0.2,0.8,292.47,-3.05,0,432.1
ethyl myristate,ethyl palmitate,0.2,0.8,278.87,-5,0,437.9
ethyl myristate,ethyl stearate,0.2,0.8,295.7,-4.91,0,443.8
ethyl myristate,ethyl oleate,0.2,0.8,299.7,-5.28,0,443.4
ethyl myristate,ethyl linoleate,0.2,0.8,298.08,-5.26,0,444.5
ethanol,ethyl octanoate,0.2,0.8,145.83,7.48,0,307.4
dodecane,ethyl octanoate,0.2,0.8,171.88,3.04,0,353.5
ethanol,ethyl decanoate,0.2,0.8,166.67,7.52,0,310
dodecane,ethyl decanoate,0.2,0.8,194.32,1.69,0,369.6
ethanol,ethyl laurate,0.2,0.8,190.71,7.47,0,300.7
dodecane,ethyl laurate,0.2,0.8,216.76,1.34,0,378.5
ethanol,ethyl myristate,0.2,0.8,213.15,7.47,0,303.7
dodecane,ethyl myristate,0.2,0.8,239.21,1.29,0,384.1
ethanol,ethyl palmitate,0.2,0.8,235.6,7.47,0,320.5
dodecane,ethyl palmitate,0.2,0.8,239.21,1.29,0,384.1
ethanol,ethyl stearate,0.2,0.8,258.04,7.47,0,310.8
dodecane,ethyl stearate,0.2,0.8,284.09,1.28,0,387.1
ethanol,ethyl oleate,0.2,0.8,251.02,7.56,0,302.7
dodecane,ethyl oleate,0.2,0.8,281.08,1.33,0,376.4
ethanol,ethyl linoleate,0.2,0.8,254.81,7.47,0,321.4
dodecane,ethyl linoleate,0.2,0.8,279.48,1.33,0,386.5
ethanol,octane,0.2,0.8,99.4,8.097548,1,278.35
methyl butyrate,octane,0.2,0.8,111.81,7.34324,1,283.35
methyl butyrate,ethanol,0.2,0.8,52.48,8.857606,1,280.95
propyl acetate,octane,0.2,0.8,111.81,7.341254,1,283.15
propyl acetate,ethanol,0.2,0.8,52.48,8.85717,1,280.95
butanol,ethyl octanoate,0.2,0.8,152.64,5.39,0,329.23
butanol,ethyl decanoate,0.2,0.8,175.08,5.32,0,330.33
butanol,ethyl laurate,0.2,0.8,197.52,5.31,0,330.08
butanol,ethyl myristate,0.2,0.8,219.96,5.31,0,331.47
butanol,ethyl palmitate,0.2,0.8,242.41,5.31,0,336
